token	normalised
KJ	ki
uolt	volt
oïr	oïr
chãcũ	chancun
de	de
beau	beau
sẽblãt	semblant
Dũt	dunt
bien	bien
s̃t	sunt
fait	fait
les	les
u͛s	vers
ꝑ	par
ꝯsonãt	cunsonant
Ore	ore
laist	laist
la	la
noise	noise
si	si
se	se
treie	treie
auãt	avant
Dirũ	dirum
la	la

flur	flur
de	de
la	la
geste	geste
uallãt	vallant
Del	del
fiz	fiz
pepin	pepin
le	le
noble	noble
ꝯbatant	cumbatant
Des	des
duze	duze
pers	pers
qͥ	qui
s	s
entramerẽt	entramerent
tãt	tant
k	k
unc	unc
ne	ne
seuererẽt	severerent
tͤsk	tresk
a	a
un	un

ior	jor
pesãt	pesant
ke	ke
Guenes	guenes
les	les
tͣï	traï
od	od
la	la
saluage	salvage
gẽt	gent
vn	un
ior	jor
mururẽt	mururent
vĩt	vint
millier	millier
e	e
set	set
cẽt	cent
De	de
cel	cel
barnage	barnage
dũt	dunt
charles	charles
ot	ot
doel	doel

gͣnt	grant
cil	cil
iugleor	jugleor
n	n
ẽ	en
diẽt	dient
tãt	tant
ne	ne
qͣnt	quant
tuit	tuit
l	l
ont	ont
leisse	leisse
k	k
il	il
ne	ne
seuẽt	sevent
nïent	nïent
Li	li
plusur	plusur
danger	danger
e	e
de	de
l	l
autri	autri

le	le
ior	jor
dũt	dunt
li	li
ĩnocẽt	innocent
sũt	sunt
A	a
paris	paris
÷	est
ẽ	en
fͣnce	france
charles	charles
de	de
clermũt	clermunt
v	u
tint	tint
sa	sa
curt	curt
plenere	plenere
li	li
duze	duze
ꝑ	per
i	i
sũt	sunt
Ml̃t	mult

par	par
est	est
la	la
ioie	joie
gͣnt	grant
q̃	que
li	li
barũs	baruns
i	i
funt	funt
vn	un
plai	plai
ont	ont
establi	establi
k	k
ẽ	en
espanie	espanie
irũt	irunt
Sur	sur
le	le
rei	rei
Marsilie	marsilie
le	le
seremẽt	serement
i	i

funt	funt
ço	ço
ert	ert
ap͛s	apres
au͛il	averil
qͣnt	quant
h͛be	herbe
fresche	fresche
au͛ũt	averunt
einz	einz
q̃	que
finẽt	finent
lur	lur
ꝑole	parole
teles	teles
noueles	noveles
orũt	orunt
Dũt	dunt
vĩt	vint
Mil	mil
